description;icao;iata;latitude_deg;longitude_deg
Utirik Airport;03N;UTK;11.222;169.852.005
Ocean Reef Club Airport;07FA;OCA;25.325.399.398.804;-80.274.803.161.621
Pilot Station Airport;0AK;PQS;61.934.601;-162.899.994
Buckhorn Ranch Airport;0CO2;CSE;388.518.981.934;-10.693.282
LBJ Ranch Airport;0TE7;JCY;30.251.800.537.100.000;-9.862.249.755.859.990
Metropolitan Airport;13MA;PMX;42.223.300.933.800.000;-7.231.140.136.719.990
Loring Seaplane Base;13Z;WLR;556.012.992.859;-131.636.993.408
Nunapitchuk Airport;16A;NUP;60.905.591;-162.440.454
Port Alice Seaplane Base;16K;PTC;55.803;-133.597
Icy Bay Airport;19AK;ICY;5.996.900.177;-141.662.002.563
Port Protection Seaplane Base;19P;PPV;56.328.800.201.416;-13.361.000.061.035
Kalakaket Creek AS Airport;1KC;KKK;644.166.256.967;-156.820.392.609
Dunsmuir Muni-Mott Airport;1O6;MHS;412.631.988.525;-122.272.003.174
Ellamar Seaplane Base;1Z9;ELW;60.893.818;-146.704.038
Lime Village Airport;2AK;LVD;613.591.003.418;-155.440.002.441
Five Finger CG Heliport;2AK3;FIV;5.726.990.127.559.990;-133.630.996.704
Hog River Airport;2AK6;HGZ;662.161.026;-1.556.690.063
Ed-Air Airport;2IG4;OTN;38.851.398.468;-874.997.024.536
Telida Airport;2K5;TLF;63.393.901.824.951;-15.326.899.719.238
Eagle Air Park;2TE0;BZT;28.982.200.622.559;-95.579.696.655.273
Entrance Island Seaplane Base;2Z1;HBH;57.412.201;-13.343.848
False Island Seaplane Base;2Z6;FAK;575.321.998.596;-135.212.997.437
Blakely Island Airport;38WA;BYW;48.578.998.565.700.000;-122.825.996.399
Drift River Airport;3AK5;DRF;60.588.901.519.800.000;-152.162.002.563
Rinkenberger Restricted Landing Area;3IS8;BDF;41.230.899.810.800.000;-8.961.569.976.810.000
Roy Otten Memorial Airfield;3VS;VRS;38.427.799.224.854;-92.875.198.364.258
Golden Horn Lodge Seaplane Base;3Z8;GDH;597.470.016.479;-158.875
Atmautluak Airport;4A2;ATT;60.866.699;-162.272.995
Livengood Camp Airport;4AK;LIV;65.467;-1.486.534
Pedro Bay Airport;4K0;PDB;597.896.003.723;-15.412.399.292
Ouzinkie Airport;4K5;KOZ;57.925.362;-152.496.715
Tununak Airport;4KA;TNK;60.575.500.488.281;-16.527.200.317.383
Ben Bruce Memorial Airpark;4TE8;EVA;303.209.991.455;-9.407.350.158.690.000
Hyder Seaplane Base;4Z7;WHD;55.903.324;-130.009.975
Tokeen Seaplane Base;57A;TKI;559.370.994.568;-13.332.699.585
Aleknagik / New Airport;5A8;WKK;592.826.004.028;-158.617.996.216
Ketchikan Harbor Seaplane Base;5KE;WFB;55.349.899;-131.677.002
Naknek Airport;5NK;NNK;58.732.898.712.158;-15.702.000.427.246
Lake Brooks Seaplane Base;5Z9;BKF;58.554.798.126.221;-15.577.699.279.785
Fort Gillem Heliport;65GA;FOP;336.150.016.785;-8.434.639.739.990.000
Southern Seaplane Airport;65LA;BCS;298.661.003.113;-900.222.015.381
Catalina Air-Sea Terminal Heliport;6CA3;SPQ;337.491.989.136;-118.275.001.526
East 34th Street Heliport;6N5;TSS;4.074.259.948.730.460;-7.397.209.930.419.920
New York Skyports Inc Seaplane Base;6N7;QNY;40.734.001;-739.729
Earl Henry Airport;6OK6;BWL;367.958.984.375;-973.170.013.428
Yes Bay Lodge Seaplane Base;78K;WYB;559.163.017.273;-131.800.994.873
Center Island Airport;78WA;CWS;484.901.008.606;-122.832.000.732
Tatitlek Airport;7KA;TEK;60.871.449;-146.690.297
Pine Island Airport;7NC2;DUF;362.535.018.921;-757.884.979.248
Stuart Island Airpark;7WA5;SSW;48.672.901.153.564;-12.317.600.250.244
Fort Bragg Airport;82CL;FOB;394.743.003.845;-12.379.599.762
Port of Poulsbo Marina Moorage Seaplane Base;83Q;PUL;47.734.001.159.668;-12.264.700.317.383
Century City Heliport;84CL;CCD;34.060.798.645;-118.417.999.268
